ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Examples_Count,Examples_Count_Log
kron1241,Krongo,,10.514,30.003,kron1241,,51,3.9318256327243257
swah1253,Swahili,,-8.25605,37.624,swah1253,,162,5.087596335232384
maib1239,Maybrat,,-1.3679,132.591,maib1239,,20,2.995732273553991
awtu1239,Awtuw,,-3.53129,141.928,awtu1239,,12,2.4849066497880004
wayu1241,Wayu,,27.3047,86.1227,wayu1241,,2,0.6931471805599453
finn1318,Finnish,,64.7628,25.5577,finn1318,,358,5.8805329864007
wels1247,Welsh,,52.0,-4.0,wels1247,,40,3.6888794541139363
chem1251,Chemehuevi,,35.356093,-116.438436,chem1251,,2,0.6931471805599453
ikaa1238,Ika,,6.36423,6.31058,ikaa1238,,16,2.772588722239781
onei1249,Oneida,,43.438742,-75.708106,onei1249,,15,2.70805020110221
kore1280,Korean,,37.54,126.98,kore1280,,232,5.44673737166631
daga1275,Daga,,-9.9747,149.263,daga1275,,7,1.9459101490553132
chuk1273,Chukchi,,68.6436,170.045,chuk1273,,37,3.6109179126442243
iraq1241,Iraqw,,-4.19948,35.2939,iraq1241,,20,2.995732273553991
bagi1246,Bagirmi,,11.52392,14.769495,bagi1246,,11,2.3978952727983707
loni1238,Loniu,,-2.06124,147.35,loni1238,,14,2.6390573296152584
less1242,Lesser Antillean French Creole,,,,less1242,,1,0.0
maor1246,Maori,,-38.2881,176.541,maor1246,,50,3.912023005428146
yagu1244,Yagua,,-3.42913,-72.2186,yagu1244,,29,3.367295829986474
seme1247,Semelai,,2.82799,102.806,seme1247,,19,2.9444389791664403
tigr1270,Tigre,,17.3494,38.2233,tigr1270,,8,2.0794415416798357
nucl1301,Turkish,,39.8667,32.8667,nucl1301,,314,5.749392985908253
bawm1236,Bawm Chin,,22.4405233333,92.92553,bawm1236,,14,2.6390573296152584
usan1239,Usan,,-4.84265,145.362,usan1239,,35,3.5553480614894135
kiow1266,Kiowa,,34.9403,-98.9042,kiow1266,,29,3.367295829986474
hind1269,Hindi,,25.0,77.0,hind1269,,128,4.852030263919617
poli1260,Polish,,51.8439,18.6255,poli1260,,318,5.762051382780177
kaby1243,Kabyle,,36.4103,4.76137,kaby1243,,4,1.3862943611198906
amel1241,Amele,,-5.29126,145.687,amel1241,,41,3.713572066704308
east2652,Eastern Oromo,,8.67428,41.4395,east2652,,37,3.6109179126442243
pany1241,Panytyima,,-22.7816,118.723,pany1241,,4,1.3862943611198906
muna1247,Muna,,-5.40419,122.541,muna1247,,6,1.791759469228055
zuni1245,Zuni,,35.0056,-108.782,zuni1245,,9,2.1972245773362196
lard1243,Lardil,,-16.56152,139.4343,lard1243,,10,2.302585092994046
nava1243,Navajo,,36.33,-109.38,nava1243,,25,3.2188758248682006
mode1248,Modern Greek,,38.36,23.13,mode1248,,79,4.3694478524670215
veng1238,Vengo,,6.11403,10.4137,veng1238,,15,2.70805020110221
tuka1247,Tukang Besi,,,,tuka1247,,49,3.8918202981106265
gand1255,Ganda,,0.66884,32.15153,gand1255,,117,4.762173934797756
kili1267,Kilivila,,-8.72574,151.072,kili1267,,15,2.70805020110221
nucl1310,Burmese,,20.7926,93.9665,nucl1310,,13,2.5649493574615367
east2545,Eastern Pomo,,38.5647,-122.586,east2545,,11,2.3978952727983707
nucl1643,Japanese,,35.0,135.0,nucl1643,,592,6.3835066348840055
pero1241,Pero,,9.62092,11.044,pero1241,,3,1.0986122886681098
wich1260,Wichita,,35.0665,-98.1831,wich1260,,10,2.302585092994046
nung1290,Wubuy,,-14.2623,135.753,nung1290,,15,2.70805020110221
nade1244,Nadëb,,-1.24449,-66.3068,nade1244,,1,0.0
taly1247,North-Central Talysh,,38.4552,48.6349,taly1247,,4,1.3862943611198906
loma1259,Loma,,,,loma1259,,1,0.0
tauy1241,Tauya,,-5.74255,145.366,tauy1241,,9,2.1972245773362196
ship1254,Shipibo-Conibo,,-7.17105,-74.8219,ship1254,,24,3.1780538303479458
ingu1240,Ingush,,43.11,45.03,ingu1240,,98,4.584967478670572
paam1238,Paama,,-16.47548,168.23693,paam1238,,15,2.70805020110221
komb1274,Kombai,,-5.54543,139.902,komb1274,,5,1.6094379124341003
tari1263,Tarifiyt-Beni-Iznasen-Eastern Middle Atlas Berber,,34.916974,-3.430616,tari1263,,1,0.0
taga1270,Tagalog,,14.06,121.747,taga1270,,222,5.402677381872279
stan1288,Spanish,,40.4414,-1.11788,stan1288,,854,6.74993119378857
thai1261,Thai,,14.192,100.671,thai1261,,49,3.8918202981106265
temb1276,Tenetehara,,-2.6123,-48.2359,temb1276,,3,1.0986122886681098
east2542,Eastern Ojibwa,,45.0112,-79.7503,east2542,,19,2.9444389791664403
khas1269,Khasi,,24.977,91.9998,khas1269,,6,1.791759469228055
moki1238,Mokilese,,6.65651,159.776,moki1238,,3,1.0986122886681098
wari1268,Wari',,-10.69948,-64.56152,wari1268,,15,2.70805020110221
ghod1238,Godoberi,,42.7428,46.2252,ghod1238,,4,1.3862943611198906
tofa1248,Tofa,,,,tofa1248,,4,1.3862943611198906
utee1244,Ute,,38.0,-109.0,utee1244,,20,2.995732273553991
arch1244,Archi,,42.3239,46.8267,arch1244,,11,2.3978952727983707
kewa1250,Kewa,,,,kewa1250,,15,2.70805020110221
leal1235,Lealao Chinantec,,17.3162,-95.9265,leal1235,,16,2.772588722239781
nucl1305,Kannada,,13.5878,76.1198,nucl1305,,29,3.367295829986474
west2369,Western Farsi,,32.9,53.3,west2369,,249,5.517452896464707
rama1270,Rama,,11.5007,-83.8571,rama1270,,19,2.9444389791664403
alam1246,Alamblak,,-4.66307,143.316,alam1246,,37,3.6109179126442243
nkor1241,Nkore-Kiga,,,,nkor1241,,9,2.1972245773362196
sime1241,Simeulue,,2.50288,96.2757,sime1241,,2,0.6931471805599453
tuva1244,Tuvalu,,-8.520813,179.198088,tuva1244,,11,2.3978952727983707
hung1274,Hungarian,,46.9068585714,19.6555271429,hung1274,,329,5.796057750765372
mina1268,Minangkabau,,-0.896,100.44,mina1268,,10,2.302585092994046
koyr1242,Koyraboro Senni Songhai,,16.9634,-0.55187,koyr1242,,32,3.4657359027997265
sout2750,Southern Yukaghir,,64.218,154.375,sout2750,,27,3.295836866004329
nezp1238,Nez Perce,,46.3073,-116.408,nezp1238,,21,3.044522437723423
cant1236,Cantonese,,23.0118,113.2021,cant1236,,39,3.6635616461296463
mand1436,Mandinka,,12.8165233333,-15.6539466667,mand1436,,4,1.3862943611198906
kali1309,Kalispel,,,,kali1309,,1,0.0
retu1239,Retuarã,,,,retu1239,,3,1.0986122886681098
taik1252,Tai-Kana,,,,taik1252,,5,1.6094379124341003
west2632,Western Keres,,34.9733,-107.517,west2632,,8,2.0794415416798357
karo1304,Karuk,,41.8228,-123.315,karo1304,,8,2.0794415416798357
egyp1253,Egyptian Arabic,,31.0,31.0,egyp1253,,23,3.1354942159291497
plai1258,Plains Cree,,51.2437,-110.463,plai1258,,27,3.295836866004329
hmon1264,Hmong Njua,,22.5638,101.95,hmon1264,,12,2.4849066497880004
hebr1245,Modern Hebrew,,31.1056,35.0179,hebr1245,,177,5.176149732573829
haus1257,Hausa,,11.1513,8.7804,haus1257,,38,3.6375861597263857
halh1238,Halh Mongolian,,48.32397,106.28874,halh1238,,184,5.214935757608986
stan1290,French,,48.0,2.0,stan1290,,1084,6.988413181999592
chan1310,Chantyal,,28.684,83.4488,chan1310,,1,0.0
waya1269,Wayana,,2.77537,-54.4429,waya1269,,2,0.6931471805599453
basq1248,Basque,,43.2787,-1.31622,basq1248,,130,4.867534450455582
kala1399,Kalaallisut,,69.3761,-52.864,kala1399,,50,3.912023005428146
urad1239,Uradhi,,-12.0679,142.135,urad1239,,1,0.0
yidi1250,Yidiñ,,-17.1332,145.876,yidi1250,,7,1.9459101490553132
ixte1237,Ixtenco Otomi,,19.2146,-98.0272,ixte1237,,9,2.1972245773362196
indo1316,Standard Indonesian,,-7.33458,109.716,indo1316,,95,4.553876891600541
tuyu1244,Tuyuca,,0.39441,-70.043515,tuyu1244,,30,3.4011973816621555
lezg1247,Lezgian,,41.5157,47.8951,lezg1247,,52,3.9512437185814275
furr1244,Fur,,12.0455,23.6401,furr1244,,27,3.295836866004329
awac1239,Awa-Cuaiquer,,1.21652,-78.3401,awac1239,,14,2.6390573296152584
cayu1262,Cayubaba,,-13.2482,-65.4822,cayu1262,,8,2.0794415416798357
gela1263,Gela,,-9.04587,160.186,gela1263,,2,0.6931471805599453
juho1239,South-Eastern Ju,,-19.688,20.7673,juho1239,,14,2.6390573296152584
suri1272,Ndyuka,,,,suri1272,,20,2.995732273553991
khmu1255,Khmu',,,,khmu1255,,10,2.302585092994046
rend1243,Rendille,,2.27065,37.3608,rend1243,,2,0.6931471805599453
adam1253,Adamawa Fulfulde,,8.140326,13.077338,adam1253,,3,1.0986122886681098
haid1248,Haida,,,,haid1248,,6,1.791759469228055
bezh1248,Bezhta,,42.1206,46.0332,bezh1248,,6,1.791759469228055
tsak1249,Tsakhur,,41.5916,46.8858,tsak1249,,11,2.3978952727983707
goon1238,Gooniyandi,,-18.4073,126.351,goon1238,,15,2.70805020110221
abkh1244,Abkhaz,,43.056218,41.159115,abkh1244,,38,3.6375861597263857
arab1267,Arabana,,-28.705,135.449,arab1267,,1,0.0
swed1254,Swedish,,59.800634,17.389526,swed1254,,365,5.8998973535824915
nyis1236,Nyishi-Hill Miri,,27.278263,93.675529,nyis1236,,1,0.0
brib1243,Bribri,,9.39794,-83.0539,brib1243,,5,1.6094379124341003
brah1256,Brahui,,29.04,66.56,brah1256,,19,2.9444389791664403
buru1296,Burushaski,,36.2161,74.8236,buru1296,,17,2.833213344056216
laii1239,Lai,,,,laii1239,,16,2.772588722239781
alba1267,Albanian,,,,alba1267,,43,3.7612001156935624
kpel1252,Kpelle,,,,kpel1252,,13,2.5649493574615367
mbya1239,Mbyá Guaraní,,-26.0188,-52.711,mbya1239,,11,2.3978952727983707
trum1247,Trumai,,-11.8119,-53.5717,trum1247,,67,4.204692619390966
aghu1253,Aghul,,41.9242,47.5843,aghu1253,,9,2.1972245773362196
meno1252,Menominee,,44.9794,-88.6395,meno1252,,1,0.0
dutc1256,Dutch,,52.0,5.0,dutc1256,,441,6.089044875446846
stan1295,German,,48.649,12.4676,stan1295,,1647,7.4067107301776405
slov1268,Slovenian,,46.2543,14.7766,slov1268,,125,4.8283137373023015
vata1239,Vata,,,,vata1239,,7,1.9459101490553132
kobo1249,Kobon,,-5.16446,144.46,kobo1249,,24,3.1780538303479458
ngit1239,Ngiti,,1.30455,30.2242,ngit1239,,19,2.9444389791664403
iris1253,Irish,,53.2186,-7.61509,iris1253,,83,4.418840607796598
mila1245,Milang,,28.5539908,95.186127,mila1245,,1,0.0
ewee1241,Ewe,,6.46061,0.814975,ewee1241,,36,3.58351893845611
timb1253,Eastern Timbira,,,,timb1253,,21,3.044522437723423
male1284,Male (Ethiopia),,5.91975,36.9892,male1284,,3,1.0986122886681098
unaa1239,Una,,-4.69676,140.1,unaa1239,,4,1.3862943611198906
garo1247,Garo,,25.2954,90.462,garo1247,,15,2.70805020110221
pras1239,Prasun,,35.420531,70.922783,pras1239,,1,0.0
nias1242,Nias,,0.90691,97.4961,nias1242,,53,3.970291913552122
adyg1241,West Circassian,,44.0,39.33,adyg1241,,7,1.9459101490553132
sinh1246,Sinhala,,8.0,81.0,sinh1246,,7,1.9459101490553132
kett1243,Ket,,63.7551,87.5466,kett1243,,48,3.871201010907891
ngar1284,Ngarinyin,,-16.4006,126.433,ngar1284,,5,1.6094379124341003
ital1282,Italian,,43.0464,12.6489,ital1282,,529,6.270988431858299
nama1265,Nama,,,,nama1265,,9,2.1972245773362196
cent1989,Central Khmer,,12.0515,105.015,cent1989,,13,2.5649493574615367
latv1249,Latvian,,56.826108,24.309118,latv1249,,57,4.04305126783455
imon1245,Imonda,,-3.31228,141.171,imon1245,,25,3.2188758248682006
hixk1239,Hixkaryána,,-0.16265,-58.80153,hixk1239,,28,3.332204510175204
nort2671,North Saami,,68.725,22.1113,nort2671,,28,3.332204510175204
lepc1244,Lepcha,,27.0869,88.5726,lepc1244,,5,1.6094379124341003
mart1255,Martuthunira,,-20.9294,116.607,mart1255,,27,3.295836866004329
pana1305,Panamint,,36.0007,-117.901,pana1305,,13,2.5649493574615367
kumy1244,Kumyk,,43.0,47.0,kumy1244,,2,0.6931471805599453
yuca1254,Yucatec Maya,,18.7757,-88.9567,yuca1254,,17,2.833213344056216
ling1263,Kinshasa Lingala,,-4.409174,15.28532,ling1263,,192,5.2574953720277815
nivk1234,Nivkh,,,,nivk1234,,28,3.332204510175204
kute1249,Kutenai,,48.7892,-115.065,kute1249,,18,2.8903717578961645
supy1237,Supyire Senoufo,,11.632,-5.87709,supy1237,,31,3.4339872044851463
tebu1238,Tebu,,,,tebu1238,,4,1.3862943611198906
imba1240,Imbabura Highland Quichua,,0.31776,-78.3729,imba1240,,27,3.295836866004329
tune1261,Tunen,,4.75,10.67,tune1261,,4,1.3862943611198906
squa1248,Squamish,,49.3231,-123.014,squa1248,,2,0.6931471805599453
abun1252,Abun,,-0.57073,132.416,abun1252,,4,1.3862943611198906
koro1298,Koromfé,,14.046,-1.96187,koro1298,,8,2.0794415416798357
tokp1240,Tok Pisin,,-9.41971,147.303,tokp1240,,338,5.823045895483019
cakc1244,Cakchiquel-Tzutujil,,,,cakc1244,,10,2.302585092994046
daha1245,Dahalo,,-2.1843,40.37,daha1245,,2,0.6931471805599453
wang1291,Ngiyambaa,,-30.6481,146.18,wang1291,,12,2.4849066497880004
obol1243,Obolo,,4.62851,7.81985,obol1243,,12,2.4849066497880004
lavu1241,Lavukaleve,,-9.05569,159.119,lavu1241,,32,3.4657359027997265
amha1245,Amharic,,11.708182,39.543456,amha1245,,31,3.4339872044851463
gari1256,Garifuna,,15.3529,-86.9091,gari1256,,9,2.1972245773362196
asma1257,Asmat,,,,asma1257,,9,2.1972245773362196
ngan1291,Nganasan,,73.1354,86.2106,ngan1291,,41,3.713572066704308
pitj1243,Pitjantjatjara,,-26.9704,131.357,pitj1243,,15,2.70805020110221
paum1247,Paumari,,-5.78403,-64.2803,paum1247,,13,2.5649493574615367
band1358,Bandjalang,,,,band1358,,3,1.0986122886681098
hund1239,Hunde,,-1.46762,28.9308,hund1239,,2,0.6931471805599453
cebu1242,Cebuano,,8.38799,124.367,cebu1242,,7,1.9459101490553132
nucl1328,Wambaya,,,,nucl1328,,9,2.1972245773362196
konj1250,Konjo,,,,konj1250,,2,0.6931471805599453
tiri1258,Tiri-Mea,,-21.8147,165.792,tiri1258,,4,1.3862943611198906
hawa1245,Hawaiian,,19.6297,-155.43,hawa1245,,18,2.8903717578961645
pira1253,Pirahã,,-6.77713,-61.8167,pira1253,,15,2.70805020110221
apur1254,Apurinã,,-8.21692,-66.7714,apur1254,,15,2.70805020110221
nusu1239,Nusu,,26.7292,98.8801,nusu1239,,1,0.0
nepa1254,Nepali,,28.0,85.0,nepa1254,,21,3.044522437723423
esto1258,Estonian,,58.55,25.82,esto1258,,90,4.499809670330265
yuro1248,Yurok,,41.3262,-123.824,yuro1248,,5,1.6094379124341003
guri1247,Gurindji,,-17.0329,130.379,guri1247,,2,0.6931471805599453
murl1244,Murle,,6.69756,33.988,murl1244,,19,2.9444389791664403
nuau1240,Patakai,,,,nuau1240,,6,1.791759469228055
cent2127,Central Alaskan Yupik,,60.3062,-161.486,cent2127,,31,3.4339872044851463
dyir1250,Dyirbal,,-17.4516,145.544,dyir1250,,17,2.833213344056216
newa1246,Kathmandu Valley Newari,,27.67,85.326,newa1246,,3,1.0986122886681098
nucl1417,Igbo,,4.62705,7.23441,nucl1417,,113,4.727387818712341
mara1386,Maranunggu,,-13.6754,130.12,mara1386,,21,3.044522437723423
yale1246,Yale,,-3.79762,141.566,yale1246,,4,1.3862943611198906
cham1312,Chamorro,,13.438011,144.74474,cham1312,,78,4.356708826689592
even1259,Evenki,,61.972,94.689,even1259,,61,4.110873864173311
tiwi1244,Tiwi,,-11.6308,130.949,tiwi1244,,17,2.833213344056216
yawu1244,Yawuru,,-18.004,122.693,yawu1244,,3,1.0986122886681098
maga1261,Magar,,,,maga1261,,2,0.6931471805599453
mezq1235,Mezquital Otomi,,20.2274,-99.5564,mezq1235,,10,2.302585092994046
arao1248,Araona,,-12.4242,-67.7293,arao1248,,11,2.3978952727983707
sang1328,Sango,,6.78584,20.1702,sang1328,,400,5.991464547107982
lakk1252,Lak,,42.1328,47.0809,lakk1252,,10,2.302585092994046
marg1265,Marghi Central,,10.93854,13.0521,marg1265,,2,0.6931471805599453
luis1254,Luiseño,,,,luis1254,,2,0.6931471805599453
tari1256,Tariana,,0.440205,-68.9042,tari1256,,14,2.6390573296152584
bara1369,Bara Malagasy,,-23.9716,45.5937,bara1369,,20,2.995732273553991
kumi1248,Tipai,,32.331,-116.604,kumi1248,,38,3.6375861597263857
mapu1245,Mapudungun,,-38.7392,-71.277,mapu1245,,36,3.58351893845611
take1257,Takelma,,42.423,-123.452,take1257,,4,1.3862943611198906
pipi1250,Pipil,,13.8931,-89.443,pipi1250,,5,1.6094379124341003
sanu1240,Sanumá,,4.5,-64.5,sanu1240,,8,2.0794415416798357
kuna1268,Kunama,,14.5879,37.5292,kuna1268,,25,3.2188758248682006
tete1251,Tetelcingo Nahuatl,,18.8854,-98.893,tete1251,,20,2.995732273553991
abip1241,Abipon,,-29.0,-61.0,abip1241,,7,1.9459101490553132
masa1300,Masai,,-3.1419,36.4573,masa1300,,1,0.0
nucl1235,Eastern Armenian,,40.0,45.0,nucl1235,,320,5.768320995793772
lowe1415,Lower Grand Valley Dani,,-4.25684,138.992,lowe1415,,10,2.302585092994046
nang1259,Nangikurrunggurr,,-14.268,131.237,nang1259,,3,1.0986122886681098
komi1268,Komi-Zyrian,,64.0527,54.946,komi1268,,4,1.3862943611198906
taha1241,Tahaggart Tamahaq,,22.5908,8.73169,taha1241,,2,0.6931471805599453
fiji1243,Fijian,,-18.0,178.33,fiji1243,,14,2.6390573296152584
manc1252,Manchu,,47.31225,126.55713,manc1252,,29,3.367295829986474
norw1258,Norwegian,,59.92,10.71,norw1258,,252,5.529429087511423
mani1292,Manipuri,,24.4409,93.3426,mani1292,,27,3.295836866004329
pumi1242,Pumi,,,,pumi1242,,2,0.6931471805599453
baii1251,Bai,,7.57221,26.48246,baii1251,,3,1.0986122886681098
bulg1262,Bulgarian,,43.3646,25.047,bulg1262,,166,5.111987788356544
berb1259,Berbice Creole Dutch,,5.3829,-58.0002,berb1259,,211,5.351858133476067
motu1246,Motu,,-9.67492,147.424,motu1246,,1,0.0
darg1241,North-Central Dargwa,,42.4257,47.4388,darg1241,,582,6.366470447731438
koas1236,Koasati,,30.4096,-92.709,koas1236,,52,3.9512437185814275
jola1263,Jola-Fonyi,,12.75752,-15.7354766667,jola1263,,7,1.9459101490553132
sout2976,Southeastern Tepehuan,,23.1584,-103.983,sout2976,,4,1.3862943611198906
hunz1247,Hunzib,,42.0808,46.1369,hunz1247,,39,3.6635616461296463
gilb1244,Gilbertese,,0.179,173.64,gilb1244,,10,2.302585092994046
tong1318,Tonga (Zambia),,-17.422325,27.103495,tong1318,,1,0.0
beja1238,Beja,,17.2436,36.6666,beja1238,,6,1.791759469228055
malt1254,Maltese,,35.8884,14.4508,malt1254,,127,4.844187086458591
czec1258,Czech,,49.873398,15.10437,czec1258,,249,5.517452896464707
zulu1248,Zulu,,-28.9,30.2,zulu1248,,115,4.74493212836325
high1278,Highland Puebla Nahuatl,,20.1554,-97.5556,high1278,,1,0.0
beng1280,Bengali,,24.0,90.0,beng1280,,25,3.2188758248682006
epen1239,Epena,,4.25877,-77.3566,epen1239,,9,2.1972245773362196
cent2128,Central Siberian Yupik,,63.4308,-170.272,cent2128,,1,0.0
sanm1295,San Miguel El Grande Mixtec,,17.046881,-97.622482,sanm1295,,32,3.4657359027997265
dual1243,Duala,,4.10208,9.61877,dual1243,,2,0.6931471805599453
araw1276,Lokono,,5.64295,-56.9243,araw1276,,6,1.791759469228055
kera1255,Kera,,9.88165,15.1419,kera1255,,4,1.3862943611198906
abaz1241,Abaza,,44.25,42.0,abaz1241,,5,1.6094379124341003
khak1248,Khakas,,50.73933,107.16939,khak1248,,7,1.9459101490553132
maja1242,Majang,,7.71,34.97,maja1242,,7,1.9459101490553132
ward1246,Wardaman,,-15.4155,132.604,ward1246,,14,2.6390573296152584
nhan1238,Nhanda,,-27.42523643,114.2680442,nhan1238,,4,1.3862943611198906
nucl1454,Yawa,,-1.77196,136.263,nucl1454,,1,0.0
kiny1244,Kinyarwanda,,-1.56771,29.6441,kiny1244,,96,4.564348191467836
luwo1239,Luwo,,7.35089,28.1378,luwo1239,,3,1.0986122886681098
laoo1244,Lao,,19.0,102.46,laoo1244,,16,2.772588722239781
yecu1235,Yecuatla Totonac,,20.1765,-96.8741,yecu1235,,26,3.258096538021482
mang1399,Manga-Dagera Kanuri,,13.557,10.701,mang1399,,33,3.4965075614664802
cham1309,Chamalal,,42.5024,45.995,cham1309,,1,0.0
tuvi1240,Tuvinian,,51.7,94.36667,tuvi1240,,6,1.791759469228055
lahu1253,Lahu,,21.2701,100.214,lahu1253,,4,1.3862943611198906
east2328,Eastern Mari,,55.8307,48.405,east2328,,3,1.0986122886681098
lako1247,Lakota,,46.3699,-103.95,lako1247,,67,4.204692619390966
rapa1244,Rapanui,,-27.113,-109.342,rapa1244,,1345,7.20414929203594
lugb1240,Lugbara,,3.02245,30.8642,lugb1240,,2,0.6931471805599453
port1283,Portuguese,,39.91,-8.1,port1283,,337,5.820082930352362
kung1261,North-Central Ju,,-21.92,18.0,kung1261,,57,4.04305126783455
wara1303,Warao,,7.50851,-59.3528,wara1303,,11,2.3978952727983707
musg1254,Musgu,,10.8439,15.1065,musg1254,,5,1.6094379124341003
godi1239,Godié,,5.3944,-5.82696,godi1239,,1,0.0
qawa1238,Qawasqar,,-49.303195,-74.707536,qawa1238,,2,0.6931471805599453
wich1262,Weenhayek,,-21.988,-63.5971,wich1262,,9,2.1972245773362196
sout2807,Southern Sotho,,-28.78,27.89,sout2807,,5,1.6094379124341003
male1292,Malecite-Passamaquoddy,,45.494475,-67.40805,male1292,,27,3.295836866004329
guma1254,Gumawana,,-9.28497,150.762,guma1254,,2,0.6931471805599453
wikc1234,Wikchamni,,,,wikc1234,,1,0.0
mara1385,Marra,,-14.7927,134.865,mara1385,,7,1.9459101490553132
greb1257,Grebo,,,,greb1257,,11,2.3978952727983707
waiw1244,Waiwai,,1.50881,-59.1417,waiw1244,,1,0.0
dumi1241,Dumi,,27.45849,86.75699,dumi1241,,2,0.6931471805599453
mara1378,Marathi,,17.9344,76.6665,mara1378,,86,4.454347296253507
limb1266,Limbu,,27.2703,87.8859,limb1266,,6,1.791759469228055
panj1256,Eastern Panjabi,,30.0368,75.6702,panj1256,,45,3.8066624897703196
mala1481,Manado Malay,,1.48099,124.843,mala1481,,25,3.2188758248682006
lish1245,Lishanid Noshan,,36.213298,44.065281,lish1245,,2,0.6931471805599453
ngil1242,Ngile,,10.7194,29.997,ngil1242,,1,0.0
udih1248,Udihe,,46.63086,135.67762,udih1248,,34,3.5263605246161616
tugu1245,Tugun,,-7.72555,126.7,tugu1245,,2,0.6931471805599453
dani1285,Danish,,54.8655,9.36284,dani1285,,102,4.624972813284271
ngal1292,Ngalkbun,,-13.9783,133.936,ngal1292,,2,0.6931471805599453
turk1308,Turkana,,4.30688,35.7101,turk1308,,31,3.4339872044851463
apat1240,Apatani,,27.1933,93.7284,apat1240,,1,0.0
mund1320,Mundari,,23.03,85.85,mund1320,,12,2.4849066497880004
bamb1269,Bambara,,12.9,-7.65,bamb1269,,30,3.4011973816621555
kaya1319,Kayardild,,-17.0695,139.489,kaya1319,,21,3.044522437723423
udmu1245,Udmurt,,56.12921,52.63548,udmu1245,,81,4.394449154672439
kati1270,Katë,,35.4145,70.9826,kati1270,,3,1.0986122886681098
sout1528,Serbian-Croatian-Bosnian,,44.15,18.81,sout1528,,332,5.805134968916488
itza1241,Itza',,17.0269,-89.8734,itza1241,,8,2.0794415416798357
onaa1245,Selk'nam,,-54.0,-68.5,onaa1245,,5,1.6094379124341003
maba1277,Maba (Chad),,12.89147,20.8889,maba1277,,1,0.0
baba1267,Baba Malay,,1.75414,103.076,baba1267,,18,2.8903717578961645
buri1258,Buriat,,,,buri1258,,2,0.6931471805599453
kork1243,Korku,,21.8358,77.5541,kork1243,,4,1.3862943611198906
tawa1275,Tawala,,-10.3115,150.644,tawa1275,,3,1.0986122886681098
nucl1649,Southern-Coastal Tsimshian,,52.59103,-128.544545,nucl1649,,8,2.0794415416798357
rumu1243,Rumu,,-7.17149,144.179,rumu1243,,3,1.0986122886681098
uppe1395,Upper Sorbian,,51.2403,14.4098,uppe1395,,24,3.1780538303479458
cent2138,Central Pomo,,38.90547,-123.66393,cent2138,,2,0.6931471805599453
sant1410,Santali,,25.0317,87.8185,sant1410,,3,1.0986122886681098
dier1241,Dieri,,-28.1667,138.0,dier1241,,15,2.70805020110221
turk1303,Khalaj Turkic,,34.42237,50.32223,turk1303,,4,1.3862943611198906
ubyk1235,Ubykh,,43.67,39.67,ubyk1235,,1,0.0
viet1252,Vietnamese,,20.681188,105.774071,viet1252,,13,2.5649493574615367
kuot1243,Kuot,,-3.06952,151.537,kuot1243,,10,2.302585092994046
coma1245,Comanche,,34.0,-101.0,coma1245,,32,3.4657359027997265
tami1289,Tamil,,10.520219,78.825989,tami1289,,121,4.795790545596741
gunw1252,Bininj Kun-Wok,,-12.3398,133.358,gunw1252,,5,1.6094379124341003
ikkk1242,Ik,,3.61407,34.2507,ikkk1242,,198,5.288267030694535
